Corpus,participants,Stat,Age,Activity,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,Verbs_Utt,FREQ_types,FREQ_tokens,Language,Group,Age(Month),MLU50_Words,MLU50_Morphemes,TNW_50,Clauses_per_sentence_50,NDW_100,*-PRESP,*-PL,*-POSS,*-PAST,*-S3
SALT Conversation,9,SD,0.14,Conversation,28.07,26.73,1.11,1.26,0.22,33.76,115.56,English,TD,9;6 to 9;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,25,Mean,11.05,Conversation,233.68,218.88,6.14,6.74,1.09,355.36,1346.2,English,TD,10;9 to 11;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,25,SD,0.16,Conversation,45.46,42.61,1.28,1.41,0.25,65.41,376.89,English,TD,10;9 to 11;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,27,Mean,13.01,Conversation,229.93,212.04,5.78,6.38,1.07,330.37,1233.63,English,TD,12;9 to 13;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,27,SD,0.15,Conversation,47.86,40.1,1,1.06,0.22,61.65,338.85,English,TD,12;9 to 13;3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,28,Mean,13.47,Persuasion,21.04,19.68,15.22,16.82,2.91,119.36,286.21,English,TD,12;10 to 13;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,28,SD,0.34,Persuasion,11.75,11.15,4.04,4.48,0.71,40.45,153.2,English,TD,12;10 to 13;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,15,Mean,14.83,Persuasion,29.8,28.87,16.25,17.99,3.09,164.2,462.47,English,TD,14;7 to 15;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,15,SD,0.15,Persuasion,17.66,17.32,2.25,2.47,0.48,55.77,278.3,English,TD,14;7 to 15;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,52,Mean,15.48,Persuasion,27.92,26.62,16.35,18.03,3.06,150.96,421.44,English,TD,15;0 to 15;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,52,SD,0.27,Persuasion,13.85,14.02,3.45,3.8,0.74,49.54,204.28,English,TD,15;0 to 15;11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,32,Mean,16.57,Persuasion,35.38,33.5,16.66,18.31,3.07,174.38,528.31,English,TD,16;1 to 17;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,32,SD,0.35,Persuasion,19.4,18.27,3.35,3.66,0.57,56.76,250.42,English,TD,16;1 to 17;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,45,Mean,17.48,Persuasion,32.24,31.31,16.83,18.55,3.17,173.4,505.53,English,TD,17;0 to 18;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,45,SD,0.30,Persuasion,17.25,16.6,4.21,4.7,0.66,63.45,255.72,English,TD,17;0 to 18;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,19,Mean,18.32,Persuasion,34.89,33.95,16.88,18.68,3.3,185.11,546.58,English,TD,18;0 to 18;9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Persuasion,19,SD,0.25,Persuasion,18.21,17.88,3.77,4.11,0.72,63.12,269.14,English,TD,18;0 to 18;9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
