File_DB,Language,Corpus,Code,Age(Month),Sex,Group,Race,SES,Role,Education,Custom_field,Design,Activity,Group...7,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,MLU50_Utts,MLU50_Words,MLU50_Morphemes,FREQ_types,FREQ_tokens,NDW_100,VOCD_D_optimum_average,Verbs_Utt,Word_Errors,Utt_Errors,retracing,repetition,DSS_Utts,DSS,IPSyn_Utts,IPSyn_Total,mor_Words,*-PRESP,in,on,*-PL,*-POSS,u-cop,det:art,*-PAST,*-3S,irr-3S,u-aux,c-cop,c-aux,Total_non_zero_mors,participants,Stat
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,86,79,5.51,6.09,NA,NA,NA,140,371,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,Max
NA,eng,SALT Conversation,NA,4;7 to 5;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,25.29,23.16,0.65,0.64,NA,NA,NA,34.83,104.76,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,SD
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,117.76,108.98,4.86,5.34,NA,NA,NA,180.5,536.33,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Mean
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,22,17,2.81,3.03,NA,NA,NA,37,62,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Min
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,329,308,8.5,9.3,NA,NA,NA,384,1594,NA,NA,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,Max
NA,eng,SALT Conversation,NA,5;0 to 5;6,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,63.39,60.86,0.98,1.07,NA,NA,NA,74.69,327.66,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,SD
NA,eng,SALT Conversation,NA,5;6 to 6;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,92.4,85.48,4.86,5.36,NA,NA,NA,152.42,416.3,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Mean
NA,eng,SALT Conversation,NA,5;6 to 6;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,18,17,1.93,2.13,NA,NA,NA,34,41,NA,NA,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Min
NA,eng,SALT Conversation,NA,5;6 to 6;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,288,279,7.07,7.83,NA,NA,NA,309,1168,NA,NA,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,Max
NA,eng,SALT Conversation,NA,5;6 to 6;0,NA,TD,NA,NA,NA,NA,NA,NA,Conversation,NA,52.63,50.3,0.99,1.1,NA,NA,NA,57.98,238.94,NA,NA,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,SD
