File_DB	Language	Corpus	Code	Age(Month)	Sex	Group	Race	SES	Role	Education	Custom_field	Design	Activity	Group...7	Total_Utts	MLU_Utts	MLU_Words	MLU_Morphemes	MLU50_Utts	MLU50_Words	MLU50_Morphemes	FREQ_types	FREQ_tokens	NDW_100	VOCD_D_optimum_average	Verbs_Utt	Word_Errors	Utt_Errors	retracing	repetition	DSS_Utts	DSS	mor_Words	*-PRESP	in	on	*-PL	*-POSS	u-cop	det:art	*-PAST	*-3S	irr-3S	u-aux	c-cop	c-aux	Total_non_zero_mors	participants	Stat
NA	eng	SALT Conversation	NA	7;0 to 7;6	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	86.66	81.83	1.17	1.29	NA	NA	NA	87.35	428.84	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84	SD
NA	eng	SALT Conversation	NA	7;6 to 8;0	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	85.82	78.79	5.68	6.32	NA	NA	NA	166.62	451.28	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	Mean
NA	eng	SALT Conversation	NA	7;6 to 8;0	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	43.79	40.81	1.51	1.66	NA	NA	NA	64.95	303.07	NA	NA	0.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	SD
NA	eng	SALT Conversation	NA	8;0 to 8;6	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	129.87	119.96	5.95	6.59	NA	NA	NA	229.23	712.46	NA	NA	1.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	Mean
NA	eng	SALT Conversation	NA	8;0 to 8;6	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	58.23	55.66	1.11	1.23	NA	NA	NA	79.93	360.39	NA	NA	0.23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	SD
NA	eng	SALT Conversation	NA	8;6 to 9;0	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	138.72	129.65	6.28	6.92	NA	NA	NA	236.53	779.05	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	Mean
NA	eng	SALT Conversation	NA	8;6 to 9;0	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	87.14	81.4	1.01	1.11	NA	NA	NA	91.37	462.69	NA	NA	0.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43	SD
NA	eng	SALT Conversation	NA	9;0 to 9;6	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	142.94	133.08	6.19	6.84	NA	NA	NA	239.08	797.54	NA	NA	1.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	Mean
NA	eng	SALT Conversation	NA	9;0 to 9;6	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	99.55	91.76	1.09	1.2	NA	NA	NA	107.65	539.86	NA	NA	0.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52	SD
NA	eng	SALT Conversation	NA	9;6 to 9;11	NA	TD	NA	NA	NA	NA	NA	NA	Conversation	NA	66.44	63.11	6.28	7.03	NA	NA	NA	151.44	377.22	NA	NA	1.16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	Mean
