Age,Language,Corpus,Stat,Activity,Group,MLU_Utts,MLU_Words,FREQ_tokens
6;3,English,TilstraMcMaster,Mean,Picture narrative,TD,9.31,6,57.64
6;3,English,TilstraMcMaster,SD,Picture narrative,TD,3.02,1.33,24.92
7;4,English,TilstraMcMaster,Mean,Picture narrative,TD,9.89,6.33,59.6
7;4,English,TilstraMcMaster,SD,Picture narrative,TD,4.42,1.3,27.67
9;1,English,TilstraMcMaster,Mean,Picture narrative,TD,14.31,7.45,104.78
9;1,English,TilstraMcMaster,SD,Picture narrative,TD,7.81,1.05,54.98
