Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Personal Narrative
77 database samples
Context: Narration
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 77 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-25.64,,7.26,7.00,7.50,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.08,,95.14,32,176,30.88
        C&I Verbal Utts,0 **,-2.94,,89.35,28,170,30.34
        All Words Including Mazes,0 **,-2.79,,612.75,153,1140,219.46
        Elapsed Time,---,,,8.56,2.68,17.78,3.03
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-35.32,,97.77,85.11,100.00,2.77
        % Intelligible Words,0.0% **,-180.27,,99.57,96.83,100.00,0.55
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.69,,5.97,3.61,8.27,1.05
        MLU in Morphemes,0.00 **,-5.85,,6.47,3.91,8.95,1.11
        % Utterances with Verbs,0.0% **,-8.98,,77.41,49.04,95.00,8.62
        Mean Verbs per Utterance,0.00 **,-5.39,,1.09,0.63,1.62,0.20
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.82,,531.22,148,1004,188.11
        Number Different Words (NDW),0 **,-3.91,,188.39,64,299,48.19
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-3.22,,1.96,1.13,4.39,0.61
        Mean Turn Length (words),0.00 **,-2.55,,11.63,3.53,27.26,4.57
        % Responses to Questions,---,,,87.86,41.38,100.00,10.28
        % Responses to Intonation Prompts,---,,,86.86,0.00,100.00,32.55
        % Utts with Overlapping Speech,0.0%,-0.75,,2.50,0.00,15.63,3.35
        % Utts Interrupted Other Speaker,0.0%,-0.48,,0.48,0.00,4.59,1.01
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,75.35,16.25,141.37,24.18
        Pause Time as % of Total Time,---,,,2.97,0.00,51.38,6.41
        Maze Words as % of Total Words,0.0% **,-2.48,,9.98,1.14,20.74,4.02
        % Abandoned Utterances,0.0%,-0.98,,1.79,0.00,7.74,1.82
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.32,,6.57,0.00,25.76,4.99
        % Word Errors,0.0% *,-1.22,,0.99,0.00,4.24,0.81
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;0 - 7;6,,,,,,,
